RETAILSTOREID,STORENAME,PHONE,CONTACTFIRSTNAME,CONTACTLASTNAME,ADDRESS,ZIPCODE,CITYID
1242,BIKECOLOGY BIKE SHOPS,310-320-1417, , ,2355 SEPULVEDA BLVD,90501-4322,706
1243,BIKECOLOGY BIKE SHOPS,310-278-0915, , ,9006 W PICO BLVD,90035-1310,5857
1244,BIKECOLOGY OF SANTA MONICA,310-451-9977, , ,501 BROADWAY,90401-2405,661
1245,BIKECOLOGY SANTA MONICA,818-902-1940, , ,1515 WILSHIRE BLVD,90017-2216,5857
1246,BIKEFACTORY,206-641-5434, , ,2237 140TH AVE NE,98005-1819,5558
1247,BIKEFACTORY SPORTSHOP,808-946-8927, , ,1695 KAPIOLANI BLVD,96814-4725,1494
1248,BIKEFIT,610-640-2638, , ,10 LANCASTER AVE,19355-3088,6290
1249,BIKEFIT,610-525-7333, , ,1215 E LANCASTER AVE,19010-2708,5922
1250,BIKEFIT INC,610-265-1225, , ,234 E DEKALB PIKE,19406-2151,4668
1251,BIKELAND,305-899-1605, , ,12717 BISCAYNE BLVD,33181-2003,1212
1252,BIKELAND,414-235-3121, , ,223 N MAIN ST,54901-4814,5768
1253,BIKELAND,714-535-1445, , ,1237 W LINCOLN AVE,92805-3547,229
1254,BIKELINE OF GREENBROOK,908-424-1222, , ,215 US HIGHWAY 22,08812-1909,6169
1255,BIKEMASTER,423-691-7660, , ,7227 OAK RIDGE HWY,37931-2614,5903
1256,BIKEMASTERS,805-237-2453, , ,1030 RAILROAD ST,93446-2517,364
1257,BIKEMOBILE WAREHOUSE STORE,410-298-3521, , ,1718 BELMONT AVE STE D,21244-2552,2522
1258,BIKER'S CHOICE,615-822-2512, David,Hardin,373 E MAIN ST,37075-2545,4999
1259,BIKERS & HIKERS,713-530-4808, , ,6714 HIGHWAY 6 S,77083-1512,5907
1260,BIKERS AMERICA,813-593-0665, , ,19709 GULF BLVD,34635-2307,6221
1261,BIKERS HIGH,814-371-6210, , ,515 N BRADY ST,15801-2409,4611
1262,BIKERS IMAGE,305-292-1328, , ,121 DUVAL ST,33040-6505,1140
1263,BIKERS USA,813-446-7733, , ,1452 SEASPRAY LN,34698-4516,1064
1264,BIKERS WORLD/SK,812-523-6963, , ,8 SHOP 708 W TIPTON ST,47274-2158,2002
1265,BIKERS' EDGE THE,860-582-7770, , ,465 N MAIN ST,06010-4994,841
1266,BIKES & BERRIES,303-781-6225, , ,69 W FLOYD AVE,80110-2420,787
1267,BIKES & BEYOND,503-325-2961, , ,1089 MARINE DR,97103-4219,4466
1268,BIKES & BEYOND,619-435-7180, , ,1201 1ST ST,92118-1462,322
1269,BIKES & BOARDS,941-474-2019, , ,1249 BEACH RD,34223-4207,1071
1270,BIKES & BOARDS,864-229-2453, , ,203 MONTAGUE AVE,29649-1936,4901
1271,BIKES & BOARDS,803-229-2453, , ,203 MONTAGUE AVE,29649-1936,4901
1272,BIKES & MORE,214-341-8921, , ,6780 ABRAMS RD,75231-7170,5121
1273,BIKES & SKIS INC,509-332-1703, , ,219 E MAIN ST,99163-2618,5653
1274,BIKES & THINGS,803-785-4946, , ,COLIGNY VILLAS,29928-6469,4905
1275,BIKES & THINGS,941-694-2453, , ,13022 SR 80TH,33905,1083
1276,BIKES & THINGS INC,501-424-4642, , ,906 HWY 62 NE,72653,139
1277,BIKES AMERICA,817-927-2453, , ,19 WESTCLIFF CTR,76109-2838,5906
1278,BIKES AND BARGAINS,407-547-1396, , ,1604 S DIXIE HWY,33460-5856,1151
1279,BIKES AND BIRDS,407-267-2214, , ,801 S PARK AVE,32780-4005,1326
1280,BIKES AND BOARDS,715-369-1999, , ,913 RIVER ST,54501-2530,5779
1281,BIKES AND MOORE,502-885-0613, , ,2935-B FT CAMPBELL BLVD,42240,2107
1282,BIKES AND MORE,702-625-2453, , ,423 S BRIDGE ST,89445-3112,3795
1283,BIKES AND MORE INC,352-373-6574, , ,2133 NW 6TH ST,32609-3582,5871
1284,BIKES AND SKIS OUTLET,702-782-0867, , ,1685 US HIGHWAY 395 N,89423-4327,6317
1285,BIKES BLADES & BOARDS,313-885-1300, , ,17020 MACK AVE,48224-2759,2775
1286,BIKES BOARDS SKATES,216-261-9633, , ,904 E 222ND ST,44123-3312,4175
1287,BIKES BY LES,813-525-7810, , ,4343 HAINES RD N,33714-4232,1282
1288,BIKES BY THE BAY,619-275-2266, , ,1405 MORENA BLVD,92110-3723,5858
1289,BIKES ETC,916-244-1954, , ,2400 ATHENS AVE,96001-2815,602
1290,BIKES ETC,313-534-1717, , ,22144 W 7 MILE RD,48219-1821,2775
1291,BIKES ETC,702-358-2513, , ,1233 BARING BLVD,89434-8668,3789
1292,BIKES ETC,302-422-8030, , ,3 N WALNUT ST,19963-1445,979
1293,BIKES ETC,318-746-0174, , ,2208 BENTON RD,71111-3404,2162
1294,BIKES FOR LIFE,510-754-8025, , ,1719 ALHAMBRA DR,94509-1915,231
1295,BIKES FOR THE LIKES OF US,816-356-7070, , ,9052 E 350TH HIGHWAY,64133,3083
1296,BIKES N BARGAINS,502-348-4096, , ,216 N 4TH ST,40004-1412,2071
1297,BIKES N MORE,503-266-9535, , ,200 NW 1ST AVE,97013-3622,4470
1298,BIKES OF BISHOP,619-872-3829, , ,651 N MAIN ST,93514-2425,5985
1299,BIKES PLUS,708-382-9200, , ,203 W NORTHWEST HWY,60010-3168,1622
1300,BIKES PLUS,813-842-6614, , ,4339 GRAND BLVD,34652-5452,1203
1301,BIKES PLUS,904-932-0620, , ,254 GULF BREEZE PKY,32561-4475,1105
1302,BIKES PLUS,805-824-4266, , ,15743 M ST,93501-1720,6322
1303,BIKES PLUS,503-397-6463, , ,1538 COLUMBIA BLVD,97051-1727,4524
1304,BIKES PLUS,504-944-6389, , ,3112 PARIS AVE,70119-1718,5864
1305,BIKES PLUS,904-478-1521, , ,1811 CREIGHTON RD,32504-7211,1252
1306,BIKES PLUS,901-872-2996, , ,4952 NAVY RD,38053-2096,5021
1307,BIKES PLUS,301-776-9494, , ,308 COMPTON AVE,20707-4330,2603
1308,BIKES PLUS,708-398-1650, , ,1313 N RAND RD,60004-4393,1620
1309,BIKES PLUS,505-521-1233, , ,2404 S LOCUST ST,88001-5789,3751
1310,BIKES PLUS,904-455-4369, , ,3929 W NAVY BLVD,32507-1221,1252
1311,BIKES PLUS TRI-SHOP,205-381-2453, , ,3928 N JACKSON HWY,35660-3522,90
1312,BIKES TO GO,305-666-7702, , ,10503 S DIXIE HWY,33156-3758,1186
1313,BIKES TO YOU,515-236-8600, , ,921 BROAD ST,50112-2047,1554
1314,BIKES TO YOU,515-754-1700, , ,17 E SOUTHRIDGE RD,50158-4550,1566
1315,BIKES UNLIMITED,804-229-4620, , ,759 SCOTLAND ST,23185-3545,5523
1316,BIKES UNLIMITED,904-457-7303, , ,965 N NAVY BLVD,32507-1274,1252
1317,BIKES UNLIMITED,412-628-2453, , ,503 W CRAWFORD AVE,15425-2534,4595
1318,BIKES UNLIMITED,904-484-4313, , ,6895 N 9TH AVE,32504-7356,1252
1319,BIKES UNLIMITED,314-464-2453, , ,4023 JEFFCO BLVD,63052,6217
1320,BIKES UNLIMITED INC,701-280-1119, , ,2745 MAIN AVE,58103-6809,3322
1321,BIKES UNLTD CYCLING & FITNS,804-385-4157, , ,2248 LAKESIDE DR,24501-6702,5473
1322,BIKES USA,817-281-1211, , ,7517 GRAPEVINE HWY,76180-8319,5906
1323,BIKES USA,817-277-4499, , ,941 W PIONEER PKY,76013-6369,5062
1324,BIKES USA,703-761-9600, , ,8387 LEESBURG PIKE,22182-2402,5517
1325,BIKES USA,703-494-5300, , ,14477 POTOMAC MILLS RD,22192-6807,5526
1326,BIKES USA,301-590-2999, , ,357 MUDDY BRANCH RD,20878-3053,2576
1327,BIKES USA,702-642-2453, , ,1539 N EASTERN AVE,89101-1512,5894
1328,BIKES USA,817-346-2266, , ,5000 S HULEN ST,76132-1938,5906
1329,BIKES USA,817-861-0388, , ,900 E COPELAND RD,76011-4989,5062
1330,BIKESMITH,206-632-3102, , ,2309 N 45TH ST,98103-6905,5664
1331,BIKESMITH,318-259-9011, , ,281 BEECH SPRINGS RD,71251-2015,6234
1332,BIKESMITH CYCLE & FITNESS,520-445-0280, , ,723 A N MONTEZUMA ST,86301,198
1333,BIKESMITH CYCLING & FITNESS,419-281-4009, , ,27 W MAIN ST,44805-2200,4133
1334,BIKESMITH INC,214-393-7977, , ,1203 CRESTSIDE DR,75019-4900,5112
1335,BIKESMITH LIMITED,708-295-0272, , ,41 E SCRANTON AVE,60044-2529,1756
1336,BIKESMITH OF MANDEVILLE,504-674-2453, , ,1886 N CAUSEWAY BLVD,70471-3112,2201
1337,BIKESMITH OF WILLIAMSBURG,804-229-9858, , ,515 YORK ST,23185-4723,5523
1338,BIKESMITH SHOP,407-870-0006, , ,425 W VINE ST,34741-4189,1142
1339,BIKESMITHS BICYCLE SHOP,812-339-9970, , ,112 S COLLEGE AVE,47404-5165,5865
2556,FAIR WHEEL BIKES,520-884-9018, , ,1110 E 6TH ST,85719-5213,214
2557,FAIRDEAL FIRESTONE STORE,716-637-5150, , ,73 MAIN ST,14420,3823
2558,FAIRHAVEN BICYCLE & SKI,360-733-4433, , ,1103 11TH ST,98225-6627,5559
2559,FAIRVIEW CYCLE & LOCK INC,216-734-2266, , ,22230 LORAIN RD,44126-3316,4206
2560,FAIRWOOD CYCLE CENTER,206-271-9990, , ,17650 140TH AVE SE # B6-142,98058-6814,5656
2561,FALCONE SCHWINN,360-943-2091, , ,1900 HARRISON AVE NW,98502-5119,5640
2562,FALLBROOK CYCLE & HOBBY,619-728-8848, , ,115 W ALVARADO ST,92028-2050,380
2563,FALLS WHEEL & WRENCH BIKE SHOP,216-928-0533, , ,2445 STATE RD,44223-1503,4183
2564,FAMILY BICYCLE CENTER INC,219-294-2865, , ,3410 S MAIN ST,46517-3124,1932
2565,FAMILY BICYCLES,301-350-0903, , ,416 HAMPTON PARK BLVD,20743-3823,6025
2566,FAMILY BIKE & SPORTS,413-525-2346, , ,217L SHAKER RD,01028-5701,2315
2567,FAMILY BIKE EXCHANGE,517-826-3367, , ,325 N MOUNT TOM RD,48647-9703,6319
2568,FAMILY CYCLE & FITNESS,216-327-2066, , ,33806 CENTER RIDGE RD,44039-3257,4292
2569,FAMILY CYCLERY,813-393-2886, , ,6572 SEMINOLE BLVD,34642-6347,1159
2570,FAMILY CYCLERY,916-343-8362, , ,260 E 1ST AVE,95926-3442,302
2571,FAMILY CYCLERY,813-522-5510, , ,6331 4TH ST N,33702-7511,1282
2572,FAMILY CYCLERY,916-893-8362, , ,260 E 1ST ST,95928-5401,302
2573,FAMILY CYCLING CENTER,717-263-9684, , ,359 E WASHINGTON ST,17201-2601,4582
2574,FAMILY CYCLING CENTER,408-475-3883, , ,950 41ST AVE,95062-4457,658
2575,FANATIC BIKES,405-252-2135, , ,120 S 10TH ST,73533-4902,4416
2576,FANDANGO OUTDOOR SUPPLY LLC,307-637-3486, , ,900 E LINCOLNWAY,82001-4708,5841
2577,FANTASY CYCLES,808-637-3221, , ,66-134 KAMEHAMEHA HWY,96712-1493,6179
2578,FANTICYCLE,360-653-6607, , ,1511 GROVE ST,98270-4325,5624
2579,FAR OUT BICYCLE SHOP,804-822-5042, , ,RR 1 BOX 1480,24586-9778,6430
2580,FARGO BIKE SHOP,415-897-0252, , ,132 VINTAGE WAY # F13,94945-5003,541
2581,FARGO BIKE SHOP,415-472-0253, , ,194 NORTHGATE ONE,94903-3417,651
2582,FARMINGTON BICYCLE SHOP,860-677-2453, , ,POST OFFICE SQ,,868
2583,FARMINGTON BIKE & REPAIR SHOP,810-474-7338, , ,22856 ORCHARD LAKE RD,48336-3229,2784
2584,FARR'S,860-643-7111, , ,2 MAIN,06040-3136,888
2585,FAST BICYCLE,408-251-9110, , ,2274 ALUM ROCK AVE,95116-2019,642
2586,FAST BIKE,408-448-6605, , ,1659 BRANHAM LN,95118-2291,642
2587,FAST COMPANY,714-842-3463, , ,7712 TALBERT AVE,92648-5639,428
2588,FAST TRACK BICYCLES,813-521-1260, , ,6518 4TH ST N,33702-6812,1282
2589,FAST WHEELS BIKE SHOP,916-529-1388, , ,233 MAIN ST,96080-3818,601
2590,FASTLANE'S BIKE RACK,206-850-6244, , ,703 CENTRAL AVE S,98032-6108,5609
2591,FAT TIRE CYCLES,505-243-5900, , ,1425 CENTRAL AVE NE,87106-4801,3734
2592,FAT TIRE FARM,503-222-3276, , ,2714 NW THURMAN ST,97210-2205,4515
2593,FAWNSKIN RANCH,909-866-5504, , ,39115 RIM OF THE WORLD,92333,6130
2594,FELIX BICYCLE SHOP,310-327-8888, , ,1029 W GARDENA BLVD,90247-4957,400
2595,FENSONS GRT OUTDOORS BIKE,218-751-1687, , ,210 3RD ST NW,56601-3112,2925
2596,FENWICK GOLF & CYCLE,302-539-4922, , ,RR 1,19975-9801,6462
2597,FENWICK ISLANDER BICYCLE SHP,302-537-2021, , ,OCEAN HIGHWAY & VIRGINIA AV,19944,6133
2598,FIFTY NINTH STREET BICYCLES,941-795-0809, , ,5917 MANATEE AVE W,34209-2407,1014
2599,FINE BIKES,818-330-8939, , ,15813 MAIN ST,91744-4716,448
2600,FINE EDGE,307-745-4499, , ,1660-E N 4TH,82051,5917
2601,FINE TUNE BICYCLE SERVICE,614-773-2220, , ,160 N HIGH ST,45601-2407,4172
2602,FINISH LINE BICYCLE,805-833-6268, , ,3212 SEW STINE RD,93309,249
2603,FINISH LINE PRO BIKE SHOP,619-353-0571, , ,637 MAIN,92243,360
2604,FINS PETS PEDDLES & THINGS,316-353-1851, , ,109 N MAIN ST,67880-2128,2065
2605,FIRST CHOICE BICYCLE,702-382-5775, , ,1000 E CHARLESTON BLVD BLDG,89104-1560,5894
2606,FIRST FLIGHT BICYCLE,704-878-9683, , ,216 S CENTER ST,28677-5807,3307
2607,FIRST TRACKS,704-264-7368, , ,1380 HWY 105,28607,3231
2608,FISH NORDIC SKI/BIKE,715-362-6224, , ,5196 SPIDER LAKE RD,54501-8663,5779
2609,FISHER CYCLERY,801-466-3971, , ,2175 S 900 E,84106-2335,5383
2610,FISHKIN BROS INC,908-826-0048, , ,285 MADISON AVE,08861-4313,3632
2611,FISK'S CYCLERY,916-678-4330, , ,420 N 1ST ST,95620-2914,344
2612,FIT TO BE TRIED BIKE & OTDR,919-776-2453, , ,122 CARTHAGE ST,27330-4203,3299
2613,FITNESS FACTORY,608-222-7646, , ,4307 TRIANGLE ST # 51,53558-9444,5750
2614,FITNESS PROFESSIONALS,512-327-8981, , ,1406 CAMP CRAFT RD,78746-6556,5065
2615,FITNESS SHOP,216-442-9399, , ,5702 MAYFIELD RD,44124-2918,4256
2616,FITNESS SHOP,216-492-2453, , ,4353 DRESSLER RD NW,44718-2751,4168
2617,FITNESS SHOP,216-734-3999, , ,5178 PLAZA SOUTH,44070,4291
2618,FITNESS SOURCE & CYCLE,616-347-6877, , ,100 DIVISION,49770,2861
2619,FIX-A-BIKE,707-224-4400, , ,2965 JEFFERSON ST,94558-4958,530
2620,FIXED GEAR,415-512-9652, , ,121 6TH ST,94103-2814,639
2621,FIXIT SHOP,360-533-3141, , ,315 E MARKET ST,98520-5243,5553
2622,FIZZ'S BIKE SHOP,812-273-3499, , ,131 SPRING ST,47250-3228,1969
2623,FLAGSTAFF BICYCLE & FITNESS,520-526-2780, , ,2404 E ROUTE 66,86004-5007,175
2624,FLAGSTAFF SPORTS,541-523-3477, , ,1719 MAIN ST,97814-3446,4467
2625,FLAIMS RENTALS SALES & SERVICE,810-542-6634, , ,26324 JOHN R RD,48071-3610,2837
2626,FLANDERS BROS CYCLE,612-872-6994, , ,2707 LYNDALE AVE S,55408-1302,5860
2627,FLECK'S BIKE SHOP,612-755-2813, , ,631 NORTHDALE BLVD NW,55448-3202,2940
2628,FLEET BIKE SHOP,216-441-3920, , ,5002 FLEET AVE,44105-3330,4175
2629,FLEET FEET SPORTS,310-798-1255, , ,1040 HERMOSA AVE,90254-3716,422
2630,FLEET FEET SPORTS,619-481-4148, , ,161 S HIGHWAY 101,92075-1806,676
2631,FLINT HILLS SCHWINN CYCLING,316-321-3238, , ,114 N MAIN ST,67042-2016,2029
2632,FLO ON WHEELS,201-798-5589, , ,1222 WASHINGTON ST,07030-5476,3530
2633,FLO ON WHEELS,201-861-2796, , ,6003 ADAMS ST,07093-1408,3714
2634,FLORENCE CYCLE SHOP,213-587-0542, , ,1621 E FLORENCE AVE,90001-2521,5857
2635,FLORIDA BICYCLE,954-565-2783, , ,2287 WILTON DR,33305-2144,1354
2636,FLYTHE CYCLERY,919-878-7433, , ,6325 FALLS OF NEUSE RD,27615-6809,3291
2637,FLYTHE CYCLERY,919-832-5097, , ,424 W PEACE ST,27603-1134,3291
2638,FLYTHE CYCLERY,919-460-9373, , ,1251 KILDAIRE FARM RD,27511-5523,3236
2639,FLYTHE'S BIKE SHOP,919-638-1544, , ,2411 TRENT RD,28562-2019,3284
2640,FOLLETT'S MOUNTAIN SPORTS,208-743-4200, , ,1019 21ST ST,83501-3415,1602
2641,FOLLETT'S MOUNTAIN SPORTS,208-882-6735, , ,428 W 3RD ST,83843-2207,1604
2642,FOLSOM BICYCLE WORKS & SKI,916-985-3244, , ,312 NATOMA ST,95630-2620,386
2643,FOLSOM CYCLE,610-461-6523, , ,1604 MACDADE BLVD,19033-1313,4633
2644,FOLTZ'S BICYCLE SHOP,517-772-0183, , ,4992 E PICKARD RD,48858-2080,2849
2645,FOND DU LAC CYCLERY,414-923-3211, , ,209 S MAIN ST,54935-4907,5723
2646,FOOTER'S EDGE,860-283-8791, , ,500 S MAIN ST,06787-1817,945
2647,FOOTHILL CYCLERY,805-541-4101, , ,796 FOOTHILL BLVD,93405-1618,646
2648,FOOTHILL CYCLERY,909-593-1111, , ,1147 FOOTHILL BLVD,91750-3328,451
2649,FOOTHILL CYCLERY,714-768-7107, , ,20651 LAKE FOREST DR,92630-7745,368
2650,FOOTHILLS BIKE ROCK & GIFT SHP,520-342-1090, , ,10600 I-8 AT FORTUNA RAMP,85365,216
1900,COLLEGE CYCLES BIKE SHOP,803-329-0992, , ,361 OAKLAND AV,29730,4928
1901,COLLEGE PARK BICYCLES,301-702-1158, , ,4360 KNOX RD,20740-3171,2550
1902,COLLEGE PARK BICYCLES,301-831-5151, , ,4540 BALTIMORE NATIONAL PIKE,21771-4108,6336
1903,COLLEY AV BIKE SHOP,804-622-0006, , ,2620 COLLEY AVE,23517-1132,5488
1904,COLLEY BIKE WEST,804-539-1820, , ,1103 N MAIN ST,23434-4318,5511
1905,COLLINS BICYCLE SHOP,213-737-9500, , ,3763 S WESTERN AVE,90018-4436,5857
1906,COLLINS CYCLE SHOP,541-342-4878, , ,60 E 11TH AVE,97401-3582,4480
1907,COLLINS' BICYCLES,303-322-1786, , ,3217 E COLFAX AVE,80206-1711,784
1908,COLONIA BIKE & REPAIR SHOP,908-634-5225, , ,1199 SAINT GEORGES AVE,07067-3922,3472
1909,COLORADO BICYCLING,970-586-4241, , ,184 E ELKHORN AV,80517,6121
1910,COLORADO CYCLIST,719-591-4045, , ,3970 E BIJOU ST,80909-6806,5870
1911,COLORADO MTN BIKE SOURCE,719-535-2627, , ,955-A GARDEN OF THE GODS RD,80907,5870
1912,COLORADO SPRINGS BIKE SHOPS,719-597-8782, , ,3940 PALMER PARK BLVD,80909-3404,5870
1913,COLORADO SPRINGS BIKE SHOPS,719-634-4915, , ,622 W COLORADO AVE,80905-1513,5870
1914,COLORADO TRADING CO,970-247-9712, , ,225 E 8TH AVE,81301-5742,786
1915,COLUMBIA BICYCLE,509-586-1334, , ,431 E COLUMBIA DR,99336-3712,5608
1916,COLUMBIA BICYCLE SALES & SVC,410-997-0124, , ,LONG REACH VILLAGE CENTER,21045,2551
1917,COLUMBIA BIKE SHOP,618-281-6910, , ,109 N RAPP AVE,62236-1719,1673
1918,COLUMBIA CYCLE,509-327-1465, , ,1808 N MONROE ST,99205-4597,5674
1919,COLUMBUS MOTORSPORTS & ACC,614-529-1111, , ,5250 FRANKLIN ST,43026-1410,4229
1920,COLUMBUS SCHWINN CYCLERY INC,812-372-7486, , ,833 16TH ST,47201-8018,1924
1921,COMMUNITY CYCLING CENTER,503-288-8864, , ,2407 NE ALBERTA ST,97211-6342,4515
1922,COMO BIKE SHOP,612-488-9078, , ,779 WHEELOCK PKY W,55117-4037,3011
1923,COMO'S GOODALE BIKE STORE,614-298-8488, , ,1026 GOODALE BLVD,43212-3828,4178
1924,COMPETITION CYCLES,203-375-8589, , ,1495 STRATFORD AV,06497-6416,942
1925,COMPETITION CYCLES & BOARDS,801-377-0025, , ,685 E 300 S,84606-4962,5377
1926,COMPETITIVE EDGE,907-696-3566, , ,11925 OLD GLENN HWY,99577-7735,6102
1927,COMPETITIVE GEAR,814-833-8274, , ,3501 W 12TH ST,16505-3650,4626
1928,COMPLEAT CYCLIST,708-841-2688, , ,703 E SIBLEY BLVD,60419-2128,1688
1929,COMPLETE BUILDING MATERIALS CO,619-281-1501, , ,4057 UNIVERSITY AVE,92105-1496,5858
1930,CONCHO BIKE SHOP,915-655-7373, , ,2015 AUSTIN ST,76903-8705,5285
1931,CONNECTICUT YANKEE PEDALLER,515-862-4411, , ,RR 1,50049-9801,6039
1932,CONNER BICYCLE SHOP,419-836-7032, , ,21100 W TOLEDO,43468,6581
1933,CONROE SCHWINN CYCLING & FITNS,409-756-4005, , ,1108 Q LOOP 336 W,77301,5110
1934,CONSTANCE MOUNT MOUNTAIN SHP,360-377-0668, , ,1500 NE RIDDELL RD,98310-3068,5562
1935,CONSTANCE MT MTN SHOPPE,206-858-8030, , ,5500 OLYMPIC DR,98335-1487,6151
1936,CONTENDER BICYCLES,801-944-1373, , ,1867 FORT UNION BLVD,84121-3041,5383
1937,CONTES BICYCLE & FITNESS EQUIP,804-491-1900, , ,1721 LASKIN RD,23454-4502,5519
1938,CONTES BICYCLE & FITNESS EQUIP,804-625-3900, , ,814 GRANBY ST,23510-2004,5488
1939,CONTES BIKE & FITNESS EQUIP,804-595-1333, , ,9913 WARWICK BLVD,23601-4244,5487
1940,CONTINENTAL BICYCLE COMPANY,503-690-8945, , ,16155 NW CORNELL RD,97006-4873,4468
1941,CONTINENTAL CYCLERY,316-262-1505, , ,929 W DOUGLAS AVE,67213-4705,2067
1942,CONTINENTAL CYCLERY,316-636-4611, , ,3101 N ROCK RD,67226-1312,2067
1943,CONTINENTAL CYCLERY,316-662-7098, , ,2602 N MAIN ST,67502-3404,2037
1944,CONTINENTAL CYCLES INC,410-524-1313, , ,7203 COASTAL HWY,21842-2931,2625
1945,CONTRA COSTA CYCLERY,510-676-2666, , ,2263 CONTRA COSTA BLVD,94523-3746,586
1946,CONWAY BICYCLE CENTER,407-898-6071, , ,4140 CURRY FORD RD,32806-2704,1230
1947,COOL BREEZE CYCLERY,704-663-8812, , ,170 N MAIN ST,28115-2526,3279
1948,COOL BREEZE CYCLERY,704-324-9350, , ,2435 N CENTER ST,28601-1320,3262
1949,COOL BREEZE CYCLERY & FITNESS,540-433-0323, , ,1550 E MARKET ST,22801-5108,5456
1950,COONEY CYCLE CENTER,414-567-7398, , ,101 S MAIN ST,53066-5220,5766
1951,COOPER'S BICYCLE CENTER,405-372-2525, , ,220 S MAIN ST,74074-3520,4451
1952,COOPERS SCHWINN CYCLING,540-389-2453, , ,1236 W MAIN ST,24153-4726,5503
1953,COPES CYCLING & FITNESS,812-882-5588, , ,1717 HART ST,47591-5502,2010
1954,COPPI FAUSTO,408-255-2896, , ,10493 S DE ANZA BLVD,95014-3011,331
1955,CORA BIKE RACK INC,360-658-7103, , ,4117-78TH PL NE,98270,5624
1956,CORAL SPRINGS BMX,954-341-6495, , ,10000 NW 29TH ST,33065-3945,1043
1957,CORAL WAY BICYCLE SHOP,305-856-5731, , ,2237 CORAL WAY,33145-3508,1042
1958,CORAOPOLIS BIKE & HOBBY SHOP,412-264-0982, , ,938 5TH AVE,15108-1802,4597
1959,CORBIN'S REDONDO BICYCLE,310-543-3226, , ,607 S PAC CST HWY,90277,604
1960,CORVALLIS CYCLERY,541-752-5952, , ,344 SW 2ND ST,97333-4632,4477
1961,COSMIC CYCLES,520-779-1092, , ,113 S SAN FRANCISCO ST,86001-5738,175
1962,COSMIC WHEEL,201-487-3733, , ,78 W MAIN ST,07603-1248,3445
1963,COSMOS ENTERPRISE,619-476-9428, , ,389 BROADWAY,91910-3523,306
1964,COTHRON'S BIKE,512-447-7076, , ,1414 W BEN WHITE BLVD,78704-7604,5065
1965,COTHRON'S BIKE,512-454-9548, , ,8227 BURNET RD,78757-7713,5065
1966,COUNTRY BICYCLE ROUTE,412-228-4941, , ,18 PLAZA,15301,4803
1967,COUNTRY CYCLES,314-785-7400, , ,1139 VINE ST,63901-4837,3115
1968,COUNTRY DOCTOR BIKE SHOP,507-356-8018, , ,14231 COUNTY 27 BLVD,55963-6626,6402
1969,COUNTRY PEDALER,316-227-2267, , ,109 GUNSMOKE ST,67801-4443,2028
1970,COUNTRY PEDALER,916-467-3030, , ,437 MAIN,96027,6123
1971,COUNTRY PEDDLIN,618-587-2028, , ,12012 MILTON RD,62237-1000,6069
1972,COUNTRY ROAD BICYCLES & FITNS,219-936-3334, , ,201 E GARRO ST,46563-2109,1990
1973,COUNTRY ROADS BICYCLES,304-455-6437, , ,161 NORTH ST,26155-1331,5828
1974,COUNTRY SCOOTERS,916-544-3500, , ,800 EMERALD BAY RD,96150-6419,682
1975,COUNTRY SKI & SPORTS,717-724-3858, , ,81 MAIN ST,16901-1534,6560
1976,COUNTRY SKI & SPORTS,717-368-1718, , ,836 BROAD ST,17754-2406,6330
1977,COUNTRY SPORTS,860-693-0266, , ,65 ALBANY TNPK,06019-2507,845
1978,COUNTRYSIDE BICYCLES,919-537-5794, , ,933 ROANOKE AVE,27870-2719,3293
1979,COUNTRYSIDE BICYCLES,216-852-4949, , ,2012 CLARK TWP RD 164,44681,6504
1980,COUNTRYSIDE CYCLING,814-734-7115, , ,114 ERIE ST,16412-2209,4619
1981,COUNTY CYCLES,612-482-9609, , ,2700 LEXINGTON AVE S,55121-1414,3011
1982,COVENTRY CYCLE WORKS,503-230-7723, , ,2025 SE HAWTHORNE BLVD,97214-3819,4515
1983,COVINA VALLEY SCHWINN,818-332-5200, , ,325 N CITRUS AVE,91723-2006,327
1984,COWART EQUIPMENT CO,601-762-4752, , ,2002 MARKET ST,39567-5778,3189
1985,COXSACKIE BICYCLE SHOP,518-731-9313, , ,49 REED ST,12051-1210,6071
1986,COYOTE BICYCLE SHOP,505-471-1682, , ,1722 SAINT MICHAELS DR,87505-7650,3763
1987,COYOTE CYCLERY,602-946-5536, , ,7537 E MCDOWELL RD,85257-3532,201
1988,CR BICYCLES,714-830-9271, , ,22641 LAKE FOREST DR,92630-1780,368
1989,CRAIG CYCLERY,515-277-7141, , ,201 4TH ST,50309-2205,1548
1990,CRANFORD BIKE SHOP,908-272-0184, , ,103 N UNION AVE,07016-2120,3473
1991,CRANK & PEDAL,816-582-8323, , ,110 E TORRANCE ST,64468-2348,3099
1992,CRANK'N BIKES,407-330-4709, , ,2927 S ORLANDO DR,32773-5354,1286
1993,CREATIVE PIPE,503-223-6503, , ,2632 SW SHERWOOD DR,97201-1617,4515
1994,CRESCENT CITY BICYCLES,501-524-3258, , ,119 S BROADWAY ST,72761-3127,150
1995,CRESTED BUTTE SPTS SKI & BIKE,970-349-7516, , ,35 EMMONS RD,81224,6074
1996,CRESTLINE CYCLE,205-879-6255, , ,11 DEXTER AVE,35213-3703,24
1997,CRITERIUM BIKE SHOPS INC,719-599-0149, , ,5660 N ACADEMY BLVD,80918-3659,5870
