"CUSTOMERID","TRANSACTIONDATE","EMPLOYEEID","AMOUNT","DESCRIPTION","REFERENCE"
1622,29-NOV-95,15293,1779.8,"Order was shipped",1740
1622,01-JAN-96,29387,-1779.79,"Single/final payment for purchase",1740
1622,12-JUL-97,51512,2294.8,"Order was shipped",4309
1622,16-SEP-97,29387,-1147.4,"Monthly payment #1",4309
1622,16-OCT-97,46583,-1147.4,"Monthly payment #2",4309
1623,18-FEB-95,87295,1802.5,"Order was shipped",1741
1623,29-DEC-98,51512,-3482.5,"Single/final payment for purchase",8708
1623,23-MAR-95,29387,-1802.5,"Single/final payment for purchase",1741
1623,04-NOV-98,29387,3482.5,"Order was shipped",8708
1624,22-NOV-95,87295,2418.78,"Order was shipped",1742
1624,24-DEC-95,29387,-2418.78,"Single/final payment for purchase",1742
1624,18-JUL-97,29387,3362.58,"Order was shipped",4306
1624,19-AUG-97,46583,-3362.57,"Single/final payment for purchase",4306
1625,29-SEP-95,87295,3491.28,"Order was shipped",1743
1625,02-NOV-95,29387,-3491.27,"Single/final payment for purchase",1743
1626,04-SEP-95,29387,-3255.33,"Single/final payment for purchase",1744
1626,04-AUG-95,15293,3255.33,"Order was shipped",1744
1627,24-SEP-95,15293,2577.5,"Order was shipped",1745
1627,28-OCT-95,29387,-2577.5,"Single/final payment for purchase",1745
1628,30-JAN-96,29387,-2734.75,"Single/final payment for purchase",1746
1628,15-APR-02,87295,4417.2,"Order was shipped",20763
1628,15-MAY-02,51512,-4417.19,"Single/final payment for purchase",20763
1628,30-DEC-95,87295,2734.75,"Order was shipped",1746
1629,02-OCT-95,87295,2354.42,"Order was shipped",1747
1629,06-NOV-95,29387,-2354.41,"Single/final payment for purchase",1747
1630,04-SEP-95,87295,2632,"Order was shipped",1748
1630,06-OCT-95,29387,-2632,"Single/final payment for purchase",1748
1631,07-SEP-95,89097,2558.19,"Order was shipped",1749
1631,12-OCT-95,29387,-2558.19,"Single/final payment for purchase",1749
1632,15-AUG-95,29387,-2225.71,"Single/final payment for purchase",1750
1632,10-JUL-95,51512,2225.72,"Order was shipped",1750
1633,23-SEP-95,29387,3675.25,"Order was shipped",1751
1633,30-OCT-95,29387,-3675.25,"Single/final payment for purchase",1751
1633,05-FEB-97,87295,2473.5,"Order was shipped",4621
1633,10-MAR-97,46583,-2473.5,"Single/final payment for purchase",4621
1634,13-SEP-98,34192,-671.3,"Monthly payment #3",8358
1634,09-APR-02,51512,-2873.5,"Single/final payment for purchase",20414
1634,20-OCT-98,87295,-671.3,"Monthly payment #4",8358
1634,18-NOV-98,51512,-671.3,"Monthly payment #5",8358
1634,03-JUL-98,34192,-671.3,"Monthly payment #1",8358
1634,08-MAR-02,15293,2873.5,"Order was shipped",20414
1634,29-APR-98,87295,3356.5,"Order was shipped",8358
1634,14-APR-95,29387,-2128,"Single/final payment for purchase",1752
1634,13-MAR-95,29387,2128,"Order was shipped",1752
1634,13-AUG-98,89097,-671.3,"Monthly payment #2",8358
1635,02-FEB-96,29387,-2264.5,"Single/final payment for purchase",1753
1635,30-DEC-95,51512,2264.5,"Order was shipped",1753
1636,30-AUG-95,51512,2359,"Order was shipped",1754
1636,01-OCT-95,29387,-2359,"Single/final payment for purchase",1754
1637,08-APR-95,29387,2240,"Order was shipped",1755
1637,14-JUN-95,34192,-746.67,"Monthly payment #1",1755
1637,09-JUL-95,98766,-746.67,"Monthly payment #2",1755
1637,09-AUG-95,46583,-746.66,"Monthly payment #3",1755
1638,18-JUL-97,46583,-3200,"Single/final payment for purchase",4542
1638,02-SEP-97,15293,4080,"Order was shipped",4352
1638,04-OCT-97,46583,-4080,"Single/final payment for purchase",4352
1421,22-FEB-03,29387,-3158.8,"Single/final payment for purchase",21806
1421,19-JAN-03,51512,3158.8,"Order was shipped",21806
1421,14-JUN-99,15293,-745.44,"Monthly payment #3",8659
1421,15-FEB-99,46583,-745.44,"Monthly payment #1",8659
1421,09-SEP-98,87295,3727.22,"Order was shipped",8659
1421,17-OCT-95,29387,-2322.25,"Single/final payment for purchase",1539
1421,13-SEP-95,87295,2322.25,"Order was shipped",1539
1421,18-SEP-99,34192,-745.45,"Monthly payment #5",8659
1421,17-MAR-99,87295,-745.44,"Monthly payment #2",8659
1422,01-OCT-95,51512,2489.55,"Order was shipped",1540
1422,04-NOV-95,29387,-2489.55,"Single/final payment for purchase",1540
1422,01-AUG-97,87295,1968.75,"Order was shipped",4673
1422,03-SEP-97,51512,-1968.75,"Single/final payment for purchase",4673
1423,20-JAN-96,98766,-369.51,"Monthly payment #4",1541
1423,20-MAY-96,89097,-369.52,"Monthly payment #8",1541
1423,21-APR-96,46583,-369.51,"Monthly payment #7",1541
1423,17-FEB-96,15293,-369.51,"Monthly payment #5",1541
1423,17-OCT-95,51512,-369.51,"Monthly payment #2",1541
1423,19-SEP-95,51512,-369.52,"Monthly payment #1",1541
1423,18-JUL-95,87295,2956.1,"Order was shipped",1541
1423,23-MAR-96,51512,-369.51,"Monthly payment #6",1541
1423,22-DEC-95,87295,-369.51,"Monthly payment #3",1541
1424,02-APR-95,87295,3629.37,"Order was shipped",1542
1424,01-MAY-95,89097,-3629.37,"Single/final payment for purchase",1542
1425,05-JUL-95,29387,3953.1,"Order was shipped",1543
1425,07-AUG-95,89097,-3953.1,"Single/final payment for purchase",1543
1426,16-JUL-95,89097,-2879,"Single/final payment for purchase",1544
1426,14-JUN-95,51512,2879,"Order was shipped",1544
1427,02-APR-95,87295,2443,"Order was shipped",1545
1427,05-MAY-95,89097,-2443,"Single/final payment for purchase",1545
1428,26-DEC-95,87295,2630.62,"Order was shipped",1546
1428,29-JAN-96,89097,-2630.62,"Single/final payment for purchase",1546
1429,16-AUG-95,89097,-2370.19,"Single/final payment for purchase",1547
1429,17-JUL-95,89097,2370.19,"Order was shipped",1547
1430,06-MAR-95,87295,3472.6,"Order was shipped",1548
1430,08-APR-95,89097,-3472.6,"Single/final payment for purchase",1548
1431,03-DEC-95,51512,2397.33,"Order was shipped",1549
1431,05-JAN-96,89097,-2397.36,"Single/final payment for purchase",1549
1432,25-AUG-95,51512,1823.5,"Order was shipped",1550
1432,27-SEP-95,89097,-1823.5,"Single/final payment for purchase",1550
1432,08-AUG-97,29387,2800,"Order was shipped",4680
1432,11-SEP-97,51512,-2800,"Single/final payment for purchase",4680
1433,21-FEB-95,29387,2290.62,"Order was shipped",1551
1433,28-MAR-95,89097,-2290.62,"Single/final payment for purchase",1551
1434,04-AUG-95,51512,2439.37,"Order was shipped",1552
1434,07-SEP-95,89097,-2439.37,"Single/final payment for purchase",1552
1435,29-JUN-95,89097,-1760,"Single/final payment for purchase",1553
1435,29-MAY-95,29387,1760,"Order was shipped",1553
1436,18-AUG-95,51512,2380.8,"Order was shipped",1554
1436,22-SEP-95,89097,-2380.8,"Single/final payment for purchase",1554
1437,04-APR-03,34192,-1262.34,"Monthly payment #3",22053
1437,02-JUN-04,29387,-653.92,"Monthly payment #5",25071
1437,03-MAY-04,87295,-653.92,"Monthly payment #4",25071
1437,02-APR-04,98766,-653.92,"Monthly payment #3",25071
1437,03-MAR-04,51512,-653.92,"Monthly payment #2",25071
1437,06-FEB-04,15293,-653.92,"Monthly payment #1",25071
1437,02-DEC-03,51512,3923.5,"Order was shipped",25071
1437,07-JUL-04,98766,-653.9001,"Monthly payment #6",25071
1437,06-FEB-03,29387,-1262.33,"Monthly payment #1",22053
1437,06-DEC-02,87295,3787,"Order was shipped",22053
1437,12-DEC-98,34192,-2180.5,"Single/final payment for purchase",8416
1437,29-OCT-98,29387,2180.5,"Order was shipped",8416
1437,28-JAN-96,89097,-1855,"Single/final payment for purchase",1555
1437,27-DEC-95,51512,1855,"Order was shipped",1555
1437,09-MAR-03,29387,-1262.33,"Monthly payment #2",22053
1438,26-SEP-95,87295,-1130.85,"Monthly payment #2",1556
1438,27-JUN-95,51512,2261.69,"Order was shipped",1556
1438,26-AUG-95,51512,-1130.84,"Monthly payment #1",1556
1439,01-NOV-95,51512,2430.8,"Order was shipped",1557
1439,06-DEC-95,87295,-2430.8,"Single/final payment for purchase",1557
1440,06-DEC-95,15293,1861.07,"Order was shipped",1558
1440,07-JAN-96,87295,-1861.06,"Single/final payment for purchase",1558
1441,29-JUL-95,87295,-2311.87,"Single/final payment for purchase",1559
1441,22-JUN-95,29387,2311.87,"Order was shipped",1559
1442,26-NOV-95,87295,-2826,"Single/final payment for purchase",1560
1442,26-OCT-95,51512,2826,"Order was shipped",1560
1443,12-DEC-98,46583,-480.2,"Monthly payment #4",8563
1443,24-DEC-98,34192,-480.2,"Monthly payment #5",8563
1443,18-AUG-98,89097,-480.2,"Monthly payment #3",8563
1443,19-JUL-98,34192,-480.2,"Monthly payment #2",8563
1443,28-JUN-98,34192,-480.2,"Monthly payment #1",8563
1443,13-APR-98,15293,2401,"Order was shipped",8563
1443,18-AUG-95,87295,-2338,"Single/final payment for purchase",1561
1443,19-JUL-95,87295,2338,"Order was shipped",1561
1444,27-JUN-97,51512,2821,"Order was shipped",4645
1444,21-MAR-95,87295,-2254,"Single/final payment for purchase",1562
1444,27-AUG-97,29387,-1410.5,"Monthly payment #1",4645
1444,12-JAN-04,89097,4711,"Order was shipped",25075
1444,14-MAR-04,34192,-1570.33,"Monthly payment #1",25075
1444,19-APR-04,34192,-1570.33,"Monthly payment #2",25075
1444,12-MAY-04,15293,-1570.34,"Monthly payment #3",25075
1444,16-FEB-95,29387,2254,"Order was shipped",1562
1444,01-OCT-97,29387,-1410.5,"Monthly payment #2",4645
1445,27-SEP-95,87295,-2275,"Single/final payment for purchase",1563
1445,17-FEB-98,51512,2747.5,"Order was shipped",8547
1445,28-APR-98,15293,-915.83,"Monthly payment #1",8547
1445,24-MAY-98,89097,-915.83,"Monthly payment #2",8547
1445,02-JUL-98,46583,-915.84,"Monthly payment #3",8547
1445,27-AUG-95,51512,2275,"Order was shipped",1563
1446,15-FEB-95,89097,3531.25,"Order was shipped",1564
1446,20-MAR-95,87295,-3531.25,"Single/final payment for purchase",1564
1447,09-DEC-95,51512,3438.12,"Order was shipped",1565
1447,09-JAN-96,87295,-3438.12,"Single/final payment for purchase",1565
1448,12-JUL-95,87295,-2020,"Single/final payment for purchase",1566
1448,13-JUN-95,51512,2020,"Order was shipped",1566
1449,05-MAR-95,87295,2359.75,"Order was shipped",1567
1449,08-APR-95,87295,-2359.75,"Single/final payment for purchase",1567
1450,16-JAN-95,87295,2439.37,"Order was shipped",1568
1450,15-FEB-95,87295,-2439.37,"Single/final payment for purchase",1568
1450,22-FEB-97,87295,2577.5,"Order was shipped",4606
1450,27-MAR-97,29387,-2577.5,"Single/final payment for purchase",4606
1451,14-JUL-97,29387,-3713.5,"Single/final payment for purchase",4261
1451,25-JAN-95,87295,2359,"Order was shipped",1569
1451,26-MAR-95,51512,-471.8,"Monthly payment #1",1569
1451,27-APR-95,51512,-471.8,"Monthly payment #2",1569
1451,27-MAY-95,34192,-471.8,"Monthly payment #3",1569
1451,25-JUN-95,29387,-471.8,"Monthly payment #4",1569
1451,30-JUL-95,46583,-471.8,"Monthly payment #5",1569
1451,10-JUN-97,87295,3713.5,"Order was shipped",4261
1452,12-OCT-95,15293,2337.19,"Order was shipped",1570
1452,15-NOV-95,46583,-2337.19,"Single/final payment for purchase",1570
1453,24-APR-95,89097,3210,"Order was shipped",1571
1453,29-MAY-95,46583,-3210,"Single/final payment for purchase",1571
1453,09-MAY-98,87295,2500,"Order was shipped",8291
1453,24-JUN-98,46583,-2500,"Single/final payment for purchase",8291
1454,11-JUN-95,51512,2558.19,"Order was shipped",1572
1454,10-JUL-95,46583,-2558.19,"Single/final payment for purchase",1572
1454,12-DEC-97,29387,1914.69,"Order was shipped",4739
1454,15-JAN-98,29387,-1914.69,"Single/final payment for purchase",4739
1455,02-MAR-97,87295,2470,"Order was shipped",4378
1455,15-FEB-04,15293,-3670,"Single/final payment for purchase",25043
1455,06-APR-97,29387,-2470,"Single/final payment for purchase",4378
1916,16-AUG-95,34192,-881.45,"Monthly payment #1",2034
1916,21-SEP-95,34192,-881.45,"Monthly payment #2",2034
1917,23-OCT-95,34192,-3411.8,"Single/final payment for purchase",2035
1917,21-SEP-95,87295,3411.8,"Order was shipped",2035
1918,13-MAR-95,34192,-3368.38,"Single/final payment for purchase",2036
1918,09-FEB-95,29387,3368.39,"Order was shipped",2036
1919,08-MAR-95,15293,3325,"Order was shipped",2037
1919,09-APR-95,34192,-3325,"Single/final payment for purchase",2037
1920,21-OCT-95,87295,-424.1301,"Monthly payment #5",2038
1920,16-APR-95,29387,2120.62,"Order was shipped",2038
1920,18-JUN-95,15293,-424.12,"Monthly payment #1",2038
1920,12-JUL-95,46583,-424.12,"Monthly payment #2",2038
1920,16-AUG-95,34192,-424.12,"Monthly payment #3",2038
1920,20-SEP-95,89097,-424.12,"Monthly payment #4",2038
1921,05-SEP-95,51512,2418.78,"Order was shipped",2039
1921,06-OCT-95,87295,-2418.77,"Single/final payment for purchase",2039
1922,24-MAR-95,87295,2317,"Order was shipped",2040
1922,25-APR-95,87295,-2317,"Single/final payment for purchase",2040
1922,16-JUN-97,89097,3797.5,"Order was shipped",4361
1922,17-AUG-97,87295,-1898.75,"Monthly payment #1",4361
1922,13-SEP-97,51512,-1898.75,"Monthly payment #2",4361
1923,01-JUL-98,51512,-902.78,"Monthly payment #1",8471
1923,18-JUL-98,34192,-902.78,"Monthly payment #2",8471
1923,27-AUG-98,51512,-902.78,"Monthly payment #3",8471
1923,13-APR-98,51512,2708.35,"Order was shipped",8471
1923,25-MAY-95,51512,2343.69,"Order was shipped",2041
1923,28-JUN-95,87295,-2343.7,"Single/final payment for purchase",2041
1924,17-AUG-95,87295,2506,"Order was shipped",2042
1924,17-SEP-95,87295,-2506,"Single/final payment for purchase",2042
1924,19-SEP-97,51512,2107,"Order was shipped",4619
1924,21-OCT-97,51512,-2107,"Single/final payment for purchase",4619
1925,15-MAY-95,29387,2917.5,"Order was shipped",2043
1925,18-JUN-95,87295,-2917.51,"Single/final payment for purchase",2043
1925,14-AUG-97,89097,2078.12,"Order was shipped",4578
1925,17-SEP-97,51512,-2078.11,"Single/final payment for purchase",4578
1926,23-FEB-95,15293,1961.44,"Order was shipped",2044
1926,02-APR-95,87295,-1961.44,"Single/final payment for purchase",2044
1927,03-SEP-95,87295,2558.19,"Order was shipped",2045
1927,06-OCT-95,87295,-2558.19,"Single/final payment for purchase",2045
1928,08-MAY-95,87295,2243.5,"Order was shipped",2046
1928,09-JUN-95,87295,-2243.5,"Single/final payment for purchase",2046
1929,25-JUL-97,34192,-1468.25,"Monthly payment #2",4373
1929,24-FEB-95,15293,3314.5,"Order was shipped",2047
1929,27-MAR-95,87295,-3314.5,"Single/final payment for purchase",2047
1929,24-APR-97,87295,2936.5,"Order was shipped",4373
1929,26-JUN-97,98766,-1468.25,"Monthly payment #1",4373
1930,20-JUN-02,46583,-1841.25,"Monthly payment #2",20647
1930,21-MAY-02,34192,-1841.25,"Monthly payment #1",20647
1930,20-MAR-02,51512,3682.5,"Order was shipped",20647
1930,26-NOV-95,51512,2375.62,"Order was shipped",2048
1930,29-DEC-95,87295,-2375.62,"Single/final payment for purchase",2048
1931,21-APR-97,34192,-3841.86,"Single/final payment for purchase",4492
1931,06-JUL-95,51512,2407.5,"Order was shipped",2049
1931,11-AUG-95,87295,-2407.51,"Single/final payment for purchase",2049
1931,17-MAR-97,51512,3841.87,"Order was shipped",4492
1932,05-APR-95,15293,1797.8,"Order was shipped",2050
1932,08-MAY-95,87295,-1797.79,"Single/final payment for purchase",2050
1933,11-AUG-95,87295,2654.72,"Order was shipped",2051
1933,14-SEP-95,87295,-2654.71,"Single/final payment for purchase",2051
1933,21-DEC-97,15293,2944.3,"Order was shipped",4682
1933,20-JAN-98,34192,-2944.3,"Single/final payment for purchase",4682
1934,08-APR-95,87295,-3230,"Single/final payment for purchase",2052
1934,05-MAR-95,29387,3230,"Order was shipped",2052
1935,13-DEC-01,46583,-3871,"Single/final payment for purchase",20123
1935,12-NOV-01,87295,3871,"Order was shipped",20123
1935,07-MAR-95,51512,2285.5,"Order was shipped",2053
1935,10-APR-95,87295,-2285.5,"Single/final payment for purchase",2053
1936,24-MAY-95,87295,1914.69,"Order was shipped",2054
1936,26-JUN-95,87295,-1914.69,"Single/final payment for purchase",2054
1937,19-JAN-96,98766,-394.19,"Monthly payment #3",2055
1937,21-APR-96,46583,-394.1799,"Monthly payment #6",2055
1937,19-NOV-95,51512,-394.19,"Monthly payment #1",2055
1937,22-DEC-95,15293,-394.19,"Monthly payment #2",2055
1937,19-SEP-95,15293,2365.14,"Order was shipped",2055
1937,25-FEB-96,34192,-394.19,"Monthly payment #4",2055
1937,24-MAR-96,87295,-394.19,"Monthly payment #5",2055
1938,21-AUG-95,87295,2380.8,"Order was shipped",2056
1938,25-SEP-95,46583,-2380.8,"Single/final payment for purchase",2056
1938,07-OCT-98,29387,2698.8,"Order was shipped",8634
1938,07-JAN-99,51512,-1349.4,"Monthly payment #1",8634
1938,08-MAR-99,46583,-1349.4,"Monthly payment #2",8634
1939,02-JUN-95,29387,2532.94,"Order was shipped",2057
1939,03-JUL-95,46583,-2532.94,"Single/final payment for purchase",2057
1940,26-MAY-95,46583,-844.38,"Monthly payment #1",2058
1940,30-JUN-95,29387,-844.38,"Monthly payment #2",2058
1940,31-JUL-95,34192,-844.38,"Monthly payment #3",2058
1940,27-AUG-95,15293,-844.3599,"Monthly payment #4",2058
1940,27-MAR-95,51512,3377.5,"Order was shipped",2058
1941,08-SEP-95,51512,2418.12,"Order was shipped",2059
1941,08-OCT-95,15293,-2418.12,"Single/final payment for purchase",2059
1942,24-NOV-95,15293,-1840.19,"Single/final payment for purchase",2060
1942,22-OCT-95,89097,1840.19,"Order was shipped",2060
1943,31-JUL-96,87295,-395.51,"Monthly payment #6",2061
1943,02-SEP-96,29387,-395.53,"Monthly payment #7",2061
1943,27-JUN-96,89097,-395.51,"Monthly payment #5",2061
1943,30-MAY-96,15293,-395.51,"Monthly payment #4",2061
1943,02-MAY-96,87295,-395.51,"Monthly payment #3",2061
1943,03-APR-96,15293,-395.51,"Monthly payment #2",2061
1943,06-MAR-96,87295,-395.52,"Monthly payment #1",2061
1943,30-NOV-95,87295,2768.6,"Order was shipped",2061
1944,06-MAY-95,29387,-2220.69,"Single/final payment for purchase",2062
1944,31-MAR-95,51512,2220.69,"Order was shipped",2062
1945,30-JUL-95,87295,3843.6,"Order was shipped",2063
1945,01-OCT-95,34192,-1921.81,"Monthly payment #1",2063
1945,04-NOV-95,51512,-1921.79,"Monthly payment #2",2063
1946,13-JAN-96,46583,-413,"Monthly payment #1",2064
1946,09-NOV-95,87295,3304,"Order was shipped",2064
1946,26-MAY-04,29387,-1536.5,"Monthly payment #2",25593
1946,14-MAR-96,29387,-413,"Monthly payment #3",2064
1946,12-APR-96,46583,-413,"Monthly payment #4",2064
1946,14-MAY-96,89097,-413,"Monthly payment #5",2064
1946,10-JUN-96,87295,-413,"Monthly payment #6",2064
1946,12-JUL-96,89097,-413,"Monthly payment #7",2064
1946,10-AUG-96,89097,-413,"Monthly payment #8",2064
1946,24-FEB-04,29387,3073,"Order was shipped",25593
1946,26-APR-04,87295,-1536.5,"Monthly payment #1",25593
1946,14-FEB-96,15293,-413,"Monthly payment #2",2064
1947,04-JUL-95,87295,2301.25,"Order was shipped",2065
1947,02-AUG-95,89097,-2301.25,"Single/final payment for purchase",2065
1948,09-AUG-95,51512,3371.5,"Order was shipped",2066
1948,12-SEP-95,89097,-3371.5,"Single/final payment for purchase",2066
1949,25-DEC-95,51512,2667,"Order was shipped",2067
1949,28-JAN-96,89097,-2667,"Single/final payment for purchase",2067
1950,03-APR-96,34192,-296.95,"Monthly payment #5",2068
1950,30-JUN-96,98766,-296.9602,"Monthly payment #8",2068
1950,15-NOV-01,87295,4500.62,"Order was shipped",20023
1950,30-MAY-96,87295,-296.95,"Monthly payment #7",2068
1950,30-APR-96,87295,-296.95,"Monthly payment #6",2068
1950,29-SEP-95,87295,2375.62,"Order was shipped",2068
1950,29-JAN-96,51512,-296.95,"Monthly payment #3",2068
1950,31-DEC-95,29387,-296.95,"Monthly payment #2",2068
1950,22-DEC-01,29387,-4500.61,"Single/final payment for purchase",20023
1950,28-NOV-95,51512,-296.95,"Monthly payment #1",2068
1950,01-MAR-96,87295,-296.95,"Monthly payment #4",2068
1673,26-JUL-98,34192,-2515.3,"Single/final payment for purchase",8683
1673,04-APR-02,51512,-4853.36,"Single/final payment for purchase",20400
1674,17-JUL-95,51512,2439.37,"Order was shipped",1792
1674,18-AUG-95,51512,-2439.37,"Single/final payment for purchase",1792
1675,16-FEB-95,51512,-3373.3,"Single/final payment for purchase",1793
1675,14-JAN-95,15293,3373.3,"Order was shipped",1793
1676,18-JUN-95,87295,-607.84,"Monthly payment #3",1794
1676,20-MAY-95,46583,-607.83,"Monthly payment #2",1794
1676,21-APR-95,51512,-607.83,"Monthly payment #1",1794
1676,18-FEB-95,29387,1823.5,"Order was shipped",1794
1677,30-NOV-95,87295,-2804.87,"Single/final payment for purchase",1795
1677,29-OCT-95,87295,2804.87,"Order was shipped",1795
1678,05-JUN-95,29387,3756.87,"Order was shipped",1796
1678,05-JUL-95,87295,-3756.87,"Single/final payment for purchase",1796
1679,08-SEP-95,15293,2397.33,"Order was shipped",1797
1679,12-OCT-95,87295,-2397.36,"Single/final payment for purchase",1797
1680,27-JAN-03,51512,1946.05,"Order was shipped",22370
1680,26-FEB-03,51512,-1946.04,"Single/final payment for purchase",22370
1680,24-NOV-95,87295,-2383.8,"Single/final payment for purchase",1798
1680,23-OCT-95,51512,2383.8,"Order was shipped",1798
1681,26-OCT-95,46583,-224.55,"Monthly payment #1",1799
1681,26-MAY-96,87295,-224.5499,"Monthly payment #8",1799
1681,26-APR-96,15293,-224.55,"Monthly payment #7",1799
1681,01-APR-96,46583,-224.55,"Monthly payment #6",1799
1681,26-FEB-96,34192,-224.55,"Monthly payment #5",1799
1681,24-JAN-96,98766,-224.55,"Monthly payment #4",1799
1681,25-AUG-95,51512,1796.4,"Order was shipped",1799
1681,26-NOV-95,46583,-224.55,"Monthly payment #2",1799
1681,27-DEC-95,29387,-224.55,"Monthly payment #3",1799
1682,12-JUN-95,87295,2720,"Order was shipped",1800
1682,15-JUL-95,87295,-2720,"Single/final payment for purchase",1800
1683,17-NOV-95,87295,1796.72,"Order was shipped",1801
1683,16-DEC-95,87295,-1796.73,"Single/final payment for purchase",1801
1683,25-JUN-98,87295,2815.6,"Order was shipped",8300
1683,07-AUG-98,34192,-2815.59,"Single/final payment for purchase",8300
1684,12-MAR-95,51512,2698.8,"Order was shipped",1802
1684,14-APR-95,87295,-2698.8,"Single/final payment for purchase",1802
1685,30-DEC-95,51512,2751.25,"Order was shipped",1803
1685,02-FEB-96,87295,-2751.25,"Single/final payment for purchase",1803
1685,01-JUL-98,29387,2644,"Order was shipped",8719
1685,04-AUG-98,34192,-2644,"Single/final payment for purchase",8719
1686,09-FEB-95,29387,2614,"Order was shipped",1804
1686,15-MAR-95,87295,-2614,"Single/final payment for purchase",1804
1687,25-OCT-95,29387,2358,"Order was shipped",1805
1687,24-NOV-95,87295,-2358,"Single/final payment for purchase",1805
1687,18-JUN-98,87295,3096.39,"Order was shipped",8479
1687,26-AUG-98,89097,-1548.19,"Monthly payment #1",8479
1687,30-SEP-98,87295,-1548.19,"Monthly payment #2",8479
1688,23-DEC-95,87295,-3325,"Single/final payment for purchase",1806
1688,17-NOV-95,29387,3325,"Order was shipped",1806
1689,20-MAR-95,51512,2295.6,"Order was shipped",1807
1689,21-APR-95,87295,-2295.6,"Single/final payment for purchase",1807
1690,22-OCT-95,89097,2128,"Order was shipped",1808
1690,26-NOV-95,87295,-2128,"Single/final payment for purchase",1808
1691,09-MAR-95,87295,2932,"Order was shipped",1809
1691,13-APR-95,87295,-2932,"Single/final payment for purchase",1809
1692,20-AUG-95,51512,-545,"Monthly payment #3",1810
1692,23-JUL-95,51512,-545,"Monthly payment #2",1810
1692,19-SEP-95,46583,-545,"Monthly payment #4",1810
1692,20-JUN-95,29387,-545,"Monthly payment #1",1810
1692,19-APR-95,89097,2180,"Order was shipped",1810
1693,27-MAR-95,46583,-3491.27,"Single/final payment for purchase",1811
1693,23-FEB-95,87295,3491.28,"Order was shipped",1811
1694,02-AUG-95,87295,2471.25,"Order was shipped",1812
1694,01-SEP-95,46583,-2471.25,"Single/final payment for purchase",1812
1695,20-OCT-95,46583,-3321.25,"Single/final payment for purchase",1813
1695,09-OCT-98,15293,-625.41,"Monthly payment #3",8408
1695,21-AUG-98,87295,-625.42,"Monthly payment #2",8408
1695,10-MAY-98,51512,1876.25,"Order was shipped",8408
1695,18-SEP-95,51512,3321.25,"Order was shipped",1813
1695,29-JUL-98,34192,-625.42,"Monthly payment #1",8408
1696,16-AUG-95,15293,3652.8,"Order was shipped",1814
1696,18-SEP-95,46583,-3652.8,"Single/final payment for purchase",1814
1697,21-SEP-95,46583,-2522.1,"Single/final payment for purchase",1815
1697,21-AUG-95,89097,2522.1,"Order was shipped",1815
1698,25-DEC-02,89097,3909.55,"Order was shipped",21993
1698,30-JAN-03,51512,-3909.55,"Single/final payment for purchase",21993
1698,17-FEB-95,46583,-3619.96,"Single/final payment for purchase",1816
1698,18-JAN-95,15293,3619.97,"Order was shipped",1816
1699,28-NOV-95,51512,2429.5,"Order was shipped",1817
1699,30-DEC-95,46583,-2429.5,"Single/final payment for purchase",1817
1700,26-APR-97,51512,2075.5,"Order was shipped",4640
1700,29-MAY-97,46583,-2075.5,"Single/final payment for purchase",4640
1700,25-AUG-95,46583,-2411.5,"Single/final payment for purchase",1818
1700,23-JUL-95,15293,2411.5,"Order was shipped",1818
1701,15-DEC-95,46583,-2380,"Single/final payment for purchase",1819
1701,13-NOV-95,51512,2380,"Order was shipped",1819
1702,10-SEP-95,51512,2327.5,"Order was shipped",1820
1702,12-OCT-95,46583,-2327.5,"Single/final payment for purchase",1820
1703,06-NOV-95,29387,2233,"Order was shipped",1821
1703,10-DEC-95,46583,-2233,"Single/final payment for purchase",1821
1704,29-MAY-02,51512,-4532.5,"Single/final payment for purchase",20727
1704,27-APR-02,87295,4532.5,"Order was shipped",20727
1704,24-JUN-95,89097,2354.37,"Order was shipped",1822
1704,25-JUL-95,46583,-2354.37,"Single/final payment for purchase",1822
1705,22-NOV-95,46583,-2857.19,"Single/final payment for purchase",1823
1705,23-OCT-95,89097,2857.19,"Order was shipped",1823
1706,06-APR-95,51512,3220,"Order was shipped",1824
1706,07-MAY-95,46583,-3220,"Single/final payment for purchase",1824
1707,04-OCT-95,29387,2179.39,"Order was shipped",1825
1707,02-DEC-95,46583,-1089.69,"Monthly payment #1",1825
1707,06-JAN-96,87295,-1089.69,"Monthly payment #2",1825
1707,20-DEC-03,89097,4935.39,"Order was shipped",25191
1707,21-JAN-04,51512,-4935.39,"Single/final payment for purchase",25191
1708,27-FEB-95,51512,1801.88,"Order was shipped",1826
1708,30-MAR-95,87295,-1801.88,"Single/final payment for purchase",1826
1709,20-SEP-95,34192,-317.3,"Monthly payment #5",1827
1709,18-MAR-95,29387,1903.8,"Order was shipped",1827
1709,20-MAY-95,15293,-317.3,"Monthly payment #1",1827
1709,21-JUN-95,87295,-317.3,"Monthly payment #2",1827
1709,21-AUG-95,89097,-317.3,"Monthly payment #4",1827
1709,21-OCT-95,46583,-317.29,"Monthly payment #6",1827
1709,17-NOV-01,15293,3366.6,"Order was shipped",19786
1709,21-DEC-01,51512,-3366.59,"Single/final payment for purchase",19786
1709,20-JUL-95,15293,-317.3,"Monthly payment #3",1827
1710,10-OCT-95,87295,2842,"Order was shipped",1828
1710,12-NOV-95,46583,-2842,"Single/final payment for purchase",1828
