PURCHASEORDERID,EMPLOYEEID,MANUFACTURERID,TOTALLIST,SHIPPINGCOST,DISCOUNT,ORDERDATE,RECEIVEDATE,AMOUNTDUE
7608,51512,42,11635.92,20,186.6,1-Apr-01,9-Apr-01,11469.32
7609,87295,44,662.86,20,3.77,1-Apr-01,26-Apr-01,679.09
7610,51512,45,16576.53,20,446.55,1-Apr-01,12-Apr-01,16149.98
7611,51512,46,537.84,20,26.52,1-Apr-01,29-Apr-01,531.32
7612,87295,47,2504.25,20,105,1-Apr-01,4-Apr-01,2419.25
7613,51512,48,5375.68,20,161.4,1-Apr-01,18-Apr-01,5234.28
7614,89097,49,4960.72,20,127.06,1-Apr-01,10-Apr-01,4853.66
7615,88873,50,1711.71,20,33.14,1-Apr-01,7-May-01,1698.57
7616,51512,52,2365.98,20,32.59,1-Apr-01,23-Apr-01,2353.39
7617,51512,2,77638.87,20,448.71,1-May-01,4-May-01,77210.16
7618,87295,3,13328.33,20,350.4,1-May-01,30-May-01,12997.93
7619,88873,4,1988.32,20,58.31,1-May-01,9-Jun-01,1950.01
7620,73735,5,504.56,20,20.85,1-May-01,6-Jun-01,503.71
7621,73735,6,5028.51,20,106.52,1-May-01,7-May-01,4941.99
7622,88873,8,25702.65,20,582.55,1-May-01,2-May-01,25140.1
7623,29387,9,4028.13,20,134.8,1-May-01,23-May-01,3913.33
7624,87295,10,4423.23,20,212.22,1-May-01,7-May-01,4231.01
7625,29387,11,357.78,20,11.24,1-May-01,14-May-01,366.54
7626,89097,14,2547.45,20,0.5,1-May-01,18-May-01,2566.95
7627,15293,15,2921.99,20,98.32,1-May-01,28-May-01,2843.67
7628,29387,16,33919.36,20,145.15,1-May-01,8-May-01,33794.21
7629,29387,18,4138.56,20,192.53,1-May-01,23-May-01,3966.03
7630,88873,33,23033.55,20,630.07,1-May-01,6-May-01,22423.48
7631,22343,34,19007.32,20,654,1-May-01,23-May-01,18373.32
7632,22343,39,3305.81,20,10.97,1-May-01,6-May-01,3314.84
724,88873,14,352.8,20,16.76,1-May-97,19-May-97,356.04
725,87295,15,4284.16,20,174.08,1-May-97,15-May-97,4130.08
726,87295,16,39615.92,20,716.48,1-May-97,7-May-97,38919.44
727,88873,17,439.64,20,19.79,1-May-97,2-May-97,439.85
728,15293,18,20832.94,20,666,1-May-97,4-May-97,20186.94
729,22343,19,5263.24,20,146.62,1-May-97,16-May-97,5136.62
730,87295,22,668.97,20,20.64,1-May-97,18-May-97,668.33
731,29387,27,479.28,20,2.95,1-May-97,6-May-97,496.33
732,87295,29,637.64,20,4.66,1-May-97,13-May-97,652.98
733,73735,30,2892.97,20,58.54,1-May-97,6-May-97,2854.43
734,15293,33,25583.24,20,171.01,1-May-97,9-May-97,25432.23
735,88873,34,18544.24,20,125.54,1-May-97,2-May-97,18438.7
736,88873,2,93759.36,20,1673.13,1-Jun-97,2-Jun-97,92106.23
737,73735,3,15181.14,20,723.09,1-Jun-97,20-Jun-97,14478.05
738,15293,4,5364,20,234.65,1-Jun-97,15-Jun-97,5149.35
739,51512,5,4414.26,20,79.3,1-Jun-97,13-Jun-97,4354.96
740,22343,6,3409.12,20,113.54,1-Jun-97,3-Jun-97,3315.58
741,15293,9,10161.26,20,12.96,1-Jun-97,6-Jun-97,10168.3
742,88873,10,556,20,7.95,1-Jun-97,14-Jun-97,568.05
743,29387,11,3697.81,20,143.51,1-Jun-97,8-Jun-97,3574.3
744,89097,14,292.32,20,4.54,1-Jun-97,15-Jun-97,307.78
745,87295,15,5510.95,20,15.25,1-Jun-97,5-Jun-97,5515.7
746,88873,16,44288.54,20,1201.4,1-Jun-97,6-Jun-97,43107.14
747,89097,17,475.03,20,21.42,1-Jun-97,17-Jun-97,473.61
748,15293,18,24108.51,20,187.14,1-Jun-97,19-Jun-97,23941.37
749,51512,19,6094.94,20,154.87,1-Jun-97,1-Jun-97,5960.07
750,87295,22,811.93,20,5.09,1-Jun-97,14-Jun-97,826.84
751,88873,27,1063.43,20,4.15,1-Jun-97,13-Jun-97,1079.28
752,15293,29,547.57,20,14.84,1-Jun-97,15-Jun-97,552.73
753,73735,30,3268.75,20,156.31,1-Jun-97,3-Jun-97,3132.44
754,15293,33,24339.79,20,779.61,1-Jun-97,17-Jun-97,23580.18
755,29387,34,18852.82,20,230.73,1-Jun-97,15-Jun-97,18642.09
756,87295,2,86836.51,20,4049.12,1-Jul-97,19-Jul-97,82807.39
757,88873,3,12891.18,20,206.75,1-Jul-97,13-Jul-97,12704.43
758,51512,4,4013.4,20,101.69,1-Jul-97,15-Jul-97,3931.71
759,88873,5,4053.93,20,160.13,1-Jul-97,14-Jul-97,3913.8
760,88873,6,3309.24,20,76.2,1-Jul-97,13-Jul-97,3253.04
761,22343,9,9097.63,20,267.22,1-Jul-97,8-Jul-97,8850.41
762,73735,10,454.23,20,22.02,1-Jul-97,20-Jul-97,452.21
763,29387,11,3770.51,20,26,1-Jul-97,12-Jul-97,3764.51
764,51512,14,511.77,20,3.46,1-Jul-97,12-Jul-97,528.31
765,51512,15,4480.81,20,67.04,1-Jul-97,13-Jul-97,4433.77
766,15293,16,33834.84,20,932.26,1-Jul-97,14-Jul-97,32922.58
767,29387,17,359,20,10.46,1-Jul-97,8-Jul-97,368.54
768,51512,18,21523.3,20,922.52,1-Jul-97,5-Jul-97,20620.78
769,22343,19,5387.36,20,185.86,1-Jul-97,6-Jul-97,5221.5
770,51512,22,701.97,20,26.35,1-Jul-97,6-Jul-97,695.62
771,51512,27,807.8,20,28.63,1-Jul-97,9-Jul-97,799.17
772,15293,29,969.76,20,8.42,1-Jul-97,5-Jul-97,981.34
773,89097,30,2421.06,20,68.36,1-Jul-97,4-Jul-97,2372.7
774,89097,33,21561.86,20,693.39,1-Jul-97,9-Jul-97,20888.47
775,87295,34,22314.36,20,635.17,1-Jul-97,6-Jul-97,21699.19
776,89097,2,89531.12,20,1286.71,1-Aug-97,5-Aug-97,88264.41
777,87295,3,15008.42,20,183.13,1-Aug-97,5-Aug-97,14845.29
778,15293,4,4652.75,20,93.6,1-Aug-97,10-Aug-97,4579.15
779,87295,5,4041.42,20,112.18,1-Aug-97,18-Aug-97,3949.24
780,51512,6,3474.76,20,38.33,1-Aug-97,3-Aug-97,3456.43
781,87295,9,9677.8,20,212.75,1-Aug-97,9-Aug-97,9485.05
782,73735,10,493.46,20,7.16,1-Aug-97,7-Aug-97,506.3
783,29387,11,3381.07,20,124.17,1-Aug-97,14-Aug-97,3276.9
784,29387,14,673.92,20,31.3,1-Aug-97,9-Aug-97,662.62
785,73735,15,4970.58,20,45.99,1-Aug-97,18-Aug-97,4944.59
786,89097,16,40806.58,20,738.78,1-Aug-97,1-Aug-97,40087.8
787,51512,17,414.86,20,4.45,1-Aug-97,5-Aug-97,430.41
788,88873,18,20474.9,20,469.37,1-Aug-97,1-Aug-97,20025.53
789,15293,19,5146.48,20,142.85,1-Aug-97,6-Aug-97,5023.63
790,87295,22,539.18,20,4.26,1-Aug-97,3-Aug-97,554.92
791,87295,27,781.76,20,8.39,1-Aug-97,18-Aug-97,793.37
792,88873,29,581.76,20,27.17,1-Aug-97,15-Aug-97,574.59
793,73735,30,2863.91,20,70.02,1-Aug-97,5-Aug-97,2813.89
794,73735,33,22130.81,20,977.91,1-Aug-97,18-Aug-97,21172.9
795,22343,34,20359.73,20,1016.91,1-Aug-97,16-Aug-97,19362.82
796,87295,2,89797.66,20,405.41,1-Sep-97,19-Sep-97,89412.25
797,87295,3,12810,20,52.01,1-Sep-97,6-Sep-97,12777.99
798,51512,4,4483.58,20,35.82,1-Sep-97,8-Sep-97,4467.76
799,73735,5,4108.45,20,124.11,1-Sep-97,3-Sep-97,4004.34
800,29387,6,3225.6,20,101.23,1-Sep-97,17-Sep-97,3144.37
801,29387,9,9692.18,20,476.58,1-Sep-97,15-Sep-97,9235.6
802,88873,10,568.5,20,12.58,1-Sep-97,14-Sep-97,575.92
803,73735,11,3579.97,20,64.53,1-Sep-97,6-Sep-97,3535.44
804,22343,14,680.6,20,11.03,1-Sep-97,16-Sep-97,689.57
805,73735,15,4837.08,20,183.56,1-Sep-97,10-Sep-97,4673.52
806,51512,16,38432.47,20,1174.13,1-Sep-97,18-Sep-97,37278.34
807,51512,17,373.44,20,12.29,1-Sep-97,4-Sep-97,381.15
808,88873,18,22963.5,20,311.55,1-Sep-97,5-Sep-97,22671.95
809,29387,19,5677.32,20,69.1,1-Sep-97,14-Sep-97,5628.22
810,51512,22,756.96,20,25.18,1-Sep-97,8-Sep-97,751.78
811,87295,27,1204.6,20,17.98,1-Sep-97,5-Sep-97,1206.62
812,29387,29,813.75,20,36.86,1-Sep-97,8-Sep-97,796.89
813,89097,30,2557.66,20,123.39,1-Sep-97,14-Sep-97,2454.27
814,89097,33,22614.63,20,1030.63,1-Sep-97,15-Sep-97,21604
815,87295,34,19931.95,20,826.55,1-Sep-97,11-Sep-97,19125.4
816,73735,2,81769.86,20,2515.67,1-Oct-97,20-Oct-97,79274.19
817,29387,3,12638.12,20,279.38,1-Oct-97,6-Oct-97,12378.74
818,29387,4,3410.16,20,106.62,1-Oct-97,11-Oct-97,3323.54
819,88873,5,4045.85,20,160.84,1-Oct-97,1-Oct-97,3905.01
820,29387,6,3101.36,20,20.31,1-Oct-97,7-Oct-97,3101.05
821,15293,9,7928.19,20,213.37,1-Oct-97,4-Oct-97,7734.82
822,51512,10,728.19,20,8.95,1-Oct-97,5-Oct-97,739.24
823,29387,11,3255.71,20,155.7,1-Oct-97,13-Oct-97,3120.01
824,51512,14,503.3,20,19.74,1-Oct-97,1-Oct-97,503.56
825,73735,15,4440.32,20,76.72,1-Oct-97,18-Oct-97,4383.6
826,15293,16,28896.3,20,1383.26,1-Oct-97,20-Oct-97,27533.04
827,22343,17,290.76,20,10.93,1-Oct-97,18-Oct-97,299.83
828,73735,18,20021.25,20,898.4,1-Oct-97,19-Oct-97,19142.85
829,22343,19,4922.22,20,60.75,1-Oct-97,3-Oct-97,4881.47
830,88873,22,794.63,20,29.32,1-Oct-97,11-Oct-97,785.31
831,22343,27,1261.26,20,20.92,1-Oct-97,7-Oct-97,1260.34
832,73735,29,698.25,20,7.34,1-Oct-97,18-Oct-97,710.91
833,87295,30,2003.63,20,31.38,1-Oct-97,11-Oct-97,1992.25
834,87295,33,22110.01,20,1080.38,1-Oct-97,19-Oct-97,21049.63
835,88873,34,18438.91,20,688.36,1-Oct-97,9-Oct-97,17770.55
836,22343,2,94927.81,20,407.59,1-Nov-97,15-Nov-97,94540.22
837,88873,3,14680.14,20,286.9,1-Nov-97,17-Nov-97,14413.24
838,73735,4,4744.44,20,67.74,1-Nov-97,19-Nov-97,4696.7
839,89097,5,4374.63,20,42.29,1-Nov-97,6-Nov-97,4352.34
840,87295,6,3630.84,20,139.79,1-Nov-97,14-Nov-97,3511.05
841,22343,9,9900.16,20,450.51,1-Nov-97,9-Nov-97,9469.65
842,73735,10,828.45,20,10.22,1-Nov-97,6-Nov-97,838.23
843,73735,11,3959.93,20,100.88,1-Nov-97,12-Nov-97,3879.05
844,15293,14,432.54,20,14.55,1-Nov-97,18-Nov-97,437.99
845,51512,15,5333.82,20,109.05,1-Nov-97,20-Nov-97,5244.77
846,87295,16,39103.75,20,1601.43,1-Nov-97,16-Nov-97,37522.32
847,29387,17,410.1,20,15.33,1-Nov-97,15-Nov-97,414.77
848,22343,18,25129.54,20,502.11,1-Nov-97,19-Nov-97,24647.43
849,73735,19,6282.73,20,115.25,1-Nov-97,4-Nov-97,6187.48
850,87295,22,795.98,20,4.52,1-Nov-97,13-Nov-97,811.46
851,87295,27,1487.98,20,16.06,1-Nov-97,2-Nov-97,1491.92
852,88873,29,733.26,20,6.92,1-Nov-97,8-Nov-97,746.34
853,29387,30,2868.93,20,21.73,1-Nov-97,13-Nov-97,2867.2
854,88873,33,22547.92,20,308.63,1-Nov-97,20-Nov-97,22259.29
855,51512,34,26833.33,20,472.86,1-Nov-97,7-Nov-97,26380.47
856,87295,2,89671.65,20,2403.51,1-Dec-97,13-Dec-97,87288.14
857,51512,3,13969.04,20,611.69,1-Dec-97,6-Dec-97,13377.35
858,88873,4,3919.95,20,18.66,1-Dec-97,7-Dec-97,3921.29
859,51512,5,4002.5,20,182.33,1-Dec-97,19-Dec-97,3840.17
860,51512,6,3421.68,20,75.44,1-Dec-97,6-Dec-97,3366.24
861,88873,9,9266.81,20,407.28,1-Dec-97,5-Dec-97,8879.53
862,89097,10,562.08,20,27.87,1-Dec-97,14-Dec-97,554.21
863,29387,11,3537.82,20,158.4,1-Dec-97,14-Dec-97,3399.42
864,87295,14,684.5,20,14.99,1-Dec-97,1-Dec-97,689.51
865,88873,15,4685.4,20,41.14,1-Dec-97,8-Dec-97,4664.26
866,51512,16,34557.46,20,1691.76,1-Dec-97,8-Dec-97,32885.7
867,88873,17,350.76,20,1.99,1-Dec-97,6-Dec-97,368.77
868,87295,18,20127.11,20,680.2,1-Dec-97,1-Dec-97,19466.91
869,51512,19,4954.93,20,74.85,1-Dec-97,20-Dec-97,4900.08
870,88873,22,604.15,20,11.56,1-Dec-97,12-Dec-97,612.59
871,29387,27,764.53,20,32.18,1-Dec-97,12-Dec-97,752.35
872,51512,29,612.75,20,30.05,1-Dec-97,1-Dec-97,602.7
873,22343,30,2231,20,58.3,1-Dec-97,7-Dec-97,2192.7
874,29387,33,24388.87,20,1077.9,1-Dec-97,2-Dec-97,23330.97
875,88873,34,20537.49,20,753.89,1-Dec-97,12-Dec-97,19803.6
876,73735,2,80855.53,20,2692.16,1-Jan-98,16-Jan-98,78183.37
877,15293,3,15018.42,20,540.48,1-Jan-98,9-Jan-98,14497.94
878,88873,4,5678.1,20,84.47,1-Jan-98,9-Jan-98,5613.63
879,29387,5,4137.91,20,188.58,1-Jan-98,18-Jan-98,3969.33
880,88873,6,3163.09,20,138.37,1-Jan-98,1-Jan-98,3044.72
881,73735,9,9004.74,20,383.67,1-Jan-98,10-Jan-98,8641.07
882,29387,10,573.75,20,15.98,1-Jan-98,1-Jan-98,577.77
883,22343,11,3399.17,20,22,1-Jan-98,20-Jan-98,3397.17
884,51512,14,741,20,23.78,1-Jan-98,2-Jan-98,737.22
885,22343,15,4495.19,20,61.3,1-Jan-98,1-Jan-98,4453.89
886,29387,16,50933.1,20,1116.69,1-Jan-98,7-Jan-98,49836.41
887,87295,17,488.14,20,16.94,1-Jan-98,2-Jan-98,491.2
888,88873,18,19869.28,20,360.06,1-Jan-98,2-Jan-98,19529.22
889,51512,19,4666.26,20,143.93,1-Jan-98,1-Jan-98,4542.33
890,15293,22,567.42,20,9.86,1-Jan-98,20-Jan-98,577.56
891,29387,27,810.32,20,18.78,1-Jan-98,5-Jan-98,811.54
892,87295,29,802.8,20,36.82,1-Jan-98,13-Jan-98,785.98
893,89097,30,3568.08,20,74.14,1-Jan-98,16-Jan-98,3513.94
894,29387,33,23246.56,20,593.93,1-Jan-98,12-Jan-98,22672.63
895,73735,34,22367.37,20,136.26,1-Jan-98,17-Jan-98,22251.11
896,51512,2,83979.04,20,1672.15,1-Feb-98,13-Feb-98,82326.89
897,87295,3,7784.11,20,61.3,1-Feb-98,4-Feb-98,7742.81
898,73735,4,2108.85,20,91.4,1-Feb-98,14-Feb-98,2037.45
899,88873,5,2746.62,20,49.42,1-Feb-98,14-Feb-98,2717.2
900,88873,6,3016.2,20,28.61,1-Feb-98,11-Feb-98,3007.59
901,87295,9,8987.9,20,342.39,1-Feb-98,14-Feb-98,8665.51
902,29387,10,632.61,20,30.92,1-Feb-98,15-Feb-98,621.69
903,73735,11,3505.25,20,94.94,1-Feb-98,20-Feb-98,3430.31
904,73735,14,137.22,20,3.36,1-Feb-98,19-Feb-98,153.86
905,22343,15,4139.65,20,165.36,1-Feb-98,8-Feb-98,3994.29
906,51512,16,19170.12,20,281.03,1-Feb-98,12-Feb-98,18909.09
907,87295,17,210.84,20,2.57,1-Feb-98,10-Feb-98,228.27
908,87295,18,24300.36,20,198.1,1-Feb-98,7-Feb-98,24122.26
909,15293,19,6074.12,20,137.17,1-Feb-98,19-Feb-98,5956.95
910,22343,22,682.61,20,23.36,1-Feb-98,6-Feb-98,679.25
911,22343,27,1332.32,20,2.01,1-Feb-98,17-Feb-98,1350.31
912,73735,29,322.5,20,4.59,1-Feb-98,6-Feb-98,337.91
913,88873,30,1368.66,20,19.63,1-Feb-98,19-Feb-98,1369.03
914,15293,33,27359.18,20,901.41,1-Feb-98,5-Feb-98,26477.77
915,22343,34,23553.47,20,291.78,1-Feb-98,10-Feb-98,23281.69
916,88873,2,118123.92,20,2078.97,1-Mar-98,9-Mar-98,116064.95
917,73735,3,10356.5,20,327.59,1-Mar-98,16-Mar-98,10048.91
918,87295,4,5276.7,20,92.57,1-Mar-98,16-Mar-98,5204.13
919,51512,5,5416.33,20,14.42,1-Mar-98,2-Mar-98,5421.91
920,88873,6,3768.83,20,159.22,1-Mar-98,6-Mar-98,3629.61
921,88873,9,12332.65,20,373.65,1-Mar-98,10-Mar-98,11979
922,15293,10,747.78,20,7.26,1-Mar-98,20-Mar-98,760.52
923,29387,11,4631.62,20,162.87,1-Mar-98,3-Mar-98,4488.75
924,89097,14,1259.87,20,42.39,1-Mar-98,8-Mar-98,1237.48
925,51512,15,6107.8,20,233.34,1-Mar-98,20-Mar-98,5894.46
926,73735,16,44674.23,20,1845.25,1-Mar-98,5-Mar-98,42848.98
927,89097,17,426.13,20,1.62,1-Mar-98,20-Mar-98,444.51
928,88873,18,37263.39,20,1257.03,1-Mar-98,2-Mar-98,36026.36
929,88873,19,9025.19,20,348.22,1-Mar-98,3-Mar-98,8696.97
930,89097,22,1312.04,20,56.49,1-Mar-98,8-Mar-98,1275.55
931,22343,27,1720.28,20,33.3,1-Mar-98,10-Mar-98,1706.98
932,22343,29,882.7,20,3.56,1-Mar-98,4-Mar-98,899.14
933,51512,30,2762.35,20,99.48,1-Mar-98,8-Mar-98,2682.87
934,87295,33,27752.27,20,543.32,1-Mar-98,3-Mar-98,27228.95
935,88873,34,24385.39,20,1169.76,1-Mar-98,18-Mar-98,23235.63
936,22343,2,148309.15,20,20.51,1-Apr-98,14-Apr-98,148308.64
937,29387,3,12511.11,20,307.57,1-Apr-98,1-Apr-98,12223.54
938,22343,4,5014.98,20,60.37,1-Apr-98,16-Apr-98,4974.61
939,73735,5,5408.1,20,50.77,1-Apr-98,1-Apr-98,5377.33
940,73735,6,5189.92,20,9.12,1-Apr-98,13-Apr-98,5200.8
941,29387,9,15511.05,20,163.8,1-Apr-98,2-Apr-98,15367.25
942,88873,10,954.36,20,25.08,1-Apr-98,12-Apr-98,949.28
943,51512,11,6097.37,20,6.06,1-Apr-98,13-Apr-98,6111.31
944,22343,14,964.86,20,11.15,1-Apr-98,1-Apr-98,973.71
945,73735,15,7677.31,20,290.72,1-Apr-98,12-Apr-98,7406.59
946,88873,16,41185.74,20,1745.33,1-Apr-98,6-Apr-98,39460.41
947,88873,17,399.54,20,5,1-Apr-98,14-Apr-98,414.54
948,15293,18,45148.92,20,1832.75,1-Apr-98,8-Apr-98,43336.17
949,73735,19,11366.46,20,129.95,1-Apr-98,7-Apr-98,11256.51
950,88873,22,1431.28,20,61.39,1-Apr-98,3-Apr-98,1389.89
951,87295,27,2041.7,20,88.06,1-Apr-98,19-Apr-98,1973.64
952,87295,29,789.36,20,1.04,1-Apr-98,20-Apr-98,808.32
953,73735,30,2634.65,20,126.34,1-Apr-98,11-Apr-98,2528.31
954,73735,33,28346.6,20,1208.76,1-Apr-98,12-Apr-98,27157.84
955,51512,34,33813.24,20,696.91,1-Apr-98,19-Apr-98,33136.33
956,88873,2,148773.31,20,6488.49,1-May-98,8-May-98,142304.82
957,29387,3,12772.56,20,62.59,1-May-98,6-May-98,12729.97
958,15293,4,2972.52,20,84.86,1-May-98,14-May-98,2907.66
959,22343,5,5391.49,20,7.23,1-May-98,18-May-98,5404.26
960,29387,6,5268.7,20,119.83,1-May-98,4-May-98,5168.87
961,29387,9,15061.83,20,55.55,1-May-98,10-May-98,15026.28
962,89097,10,919.38,20,41.63,1-May-98,9-May-98,897.75
963,15293,11,6002.11,20,115.7,1-May-98,15-May-98,5906.41
964,29387,14,561.2,20,26.36,1-May-98,10-May-98,554.84
965,29387,15,7038.16,20,50.24,1-May-98,13-May-98,7007.92
966,15293,16,25428.01,20,754.45,1-May-98,15-May-98,24693.56
967,88873,17,245.97,20,8.42,1-May-98,20-May-98,257.55
968,89097,18,41893.49,20,128.03,1-May-98,4-May-98,41785.46
969,22343,19,10280.39,20,142.83,1-May-98,13-May-98,10157.56
970,87295,22,1346,20,28.97,1-May-98,5-May-98,1337.03
971,51512,27,2207.42,20,82.67,1-May-98,4-May-98,2144.75
972,73735,29,1011.52,20,5.56,1-May-98,10-May-98,1025.96
973,87295,30,1652.18,20,37.09,1-May-98,12-May-98,1635.09
974,29387,33,32478.06,20,473.61,1-May-98,9-May-98,32024.45
975,88873,34,22912.43,20,306.84,1-May-98,12-May-98,22625.59
976,88873,2,139352.22,20,3759.05,1-Jun-98,17-Jun-98,135613.17
977,29387,3,13435.92,20,576.75,1-Jun-98,4-Jun-98,12879.17
978,51512,4,4830.15,20,66.21,1-Jun-98,7-Jun-98,4783.94
979,87295,5,5531.16,20,159.2,1-Jun-98,12-Jun-98,5391.96
980,51512,6,5053.34,20,220.61,1-Jun-98,20-Jun-98,4852.73
981,87295,9,14198.93,20,588.84,1-Jun-98,3-Jun-98,13630.09
982,89097,10,1005.77,20,19.28,1-Jun-98,15-Jun-98,1006.49
983,73735,11,5815.56,20,186.16,1-Jun-98,6-Jun-98,5649.4
984,87295,14,957.84,20,21.6,1-Jun-98,9-Jun-98,956.24
985,22343,15,6822.07,20,100.47,1-Jun-98,20-Jun-98,6741.6
986,15293,16,42722.55,20,1543.57,1-Jun-98,2-Jun-98,41198.98
987,22343,17,388,20,19.3,1-Jun-98,9-Jun-98,388.7
988,87295,18,40872.55,20,1631.44,1-Jun-98,9-Jun-98,39261.11
989,87295,19,10532.7,20,336.58,1-Jun-98,9-Jun-98,10216.12
990,87295,22,1314.06,20,46.25,1-Jun-98,5-Jun-98,1287.81
991,51512,27,1916.48,20,54.68,1-Jun-98,15-Jun-98,1881.8
992,29387,29,1072.32,20,5.42,1-Jun-98,16-Jun-98,1086.9
993,51512,30,2827.2,20,56.22,1-Jun-98,20-Jun-98,2790.98
994,15293,33,32232.3,20,1136.9,1-Jun-98,9-Jun-98,31115.4
995,51512,34,28897.7,20,318.7,1-Jun-98,8-Jun-98,28599
996,51512,2,143360.96,20,6542.36,1-Jul-98,14-Jul-98,136838.6
997,22343,3,10459.25,20,109.27,1-Jul-98,15-Jul-98,10369.98
998,87295,4,3871.21,20,139.28,1-Jul-98,11-Jul-98,3751.93
999,88873,5,5701.22,20,72.21,1-Jul-98,5-Jul-98,5649.01
1000,73735,6,4435.89,20,112.5,1-Jul-98,6-Jul-98,4343.39
1001,29387,9,14351,20,172.32,1-Jul-98,2-Jul-98,14198.68
1002,22343,10,1094.88,20,20.76,1-Jul-98,1-Jul-98,1094.12
1003,88873,11,5553.41,20,175.4,1-Jul-98,19-Jul-98,5398.01
1004,87295,14,945.75,20,42.25,1-Jul-98,12-Jul-98,923.5
1005,15293,15,6995.49,20,110.29,1-Jul-98,19-Jul-98,6905.2
1006,88873,16,32549.13,20,922.43,1-Jul-98,10-Jul-98,31646.7
1007,73735,17,274.45,20,6.29,1-Jul-98,14-Jul-98,288.16
1008,88873,18,44029.51,20,642.4,1-Jul-98,2-Jul-98,43407.11
1009,73735,19,11557.61,20,456.3,1-Jul-98,13-Jul-98,11121.31
1010,87295,22,1681.22,20,21.45,1-Jul-98,18-Jul-98,1679.77
1011,73735,27,2328.4,20,31.79,1-Jul-98,12-Jul-98,2316.61
1012,73735,29,931.28,20,9.56,1-Jul-98,12-Jul-98,941.72
1013,51512,30,1976.89,20,39.35,1-Jul-98,1-Jul-98,1957.54
1014,22343,33,28019.76,20,225.21,1-Jul-98,15-Jul-98,27814.55
1015,89097,34,24780.97,20,680.44,1-Jul-98,10-Jul-98,24120.53
1016,51512,2,147083.74,20,2644.01,1-Aug-98,9-Aug-98,144459.73
1017,88873,3,12453.9,20,227.15,1-Aug-98,2-Aug-98,12246.75
1018,51512,4,4629.45,20,61.36,1-Aug-98,19-Aug-98,4588.09
1019,29387,5,5547.74,20,173.31,1-Aug-98,2-Aug-98,5394.43
1020,87295,6,5170.99,20,248.43,1-Aug-98,8-Aug-98,4942.56
1021,29387,9,14828.43,20,654.53,1-Aug-98,1-Aug-98,14193.9
1022,87295,10,1142.4,20,38.07,1-Aug-98,17-Aug-98,1124.33
1023,29387,11,6065,20,19.08,1-Aug-98,16-Aug-98,6065.92
1024,73735,14,660.51,20,14.5,1-Aug-98,15-Aug-98,666.01
1025,15293,15,7512.4,20,153.5,1-Aug-98,19-Aug-98,7378.9
1026,22343,16,39754.94,20,794.64,1-Aug-98,20-Aug-98,38980.3
1027,73735,17,391.92,20,17.22,1-Aug-98,15-Aug-98,394.7
1028,22343,18,46123.02,20,1248.63,1-Aug-98,11-Aug-98,44894.39
1029,22343,19,11759.43,20,487.4,1-Aug-98,8-Aug-98,11292.03
1030,22343,22,1528.8,20,64.04,1-Aug-98,12-Aug-98,1484.76
1031,15293,27,2421.6,20,69.14,1-Aug-98,3-Aug-98,2372.46
1032,89097,29,820.3,20,25.5,1-Aug-98,13-Aug-98,814.8
1033,73735,30,2683.3,20,88.06,1-Aug-98,10-Aug-98,2615.24
1034,29387,33,34201.47,20,772.59,1-Aug-98,15-Aug-98,33448.88
1035,87295,34,32434.34,20,1580.9,1-Aug-98,3-Aug-98,30873.44
1036,51512,2,145469.63,20,495.8,1-Sep-98,1-Sep-98,144993.83
1037,51512,3,13713.81,20,15.31,1-Sep-98,4-Sep-98,13718.5
1038,73735,4,4357.44,20,21.03,1-Sep-98,11-Sep-98,4356.41
1039,87295,5,5490.94,20,18.32,1-Sep-98,16-Sep-98,5492.62
1040,51512,6,4933.06,20,94.79,1-Sep-98,3-Sep-98,4858.27
1041,15293,9,14490.66,20,18.23,1-Sep-98,3-Sep-98,14492.43
1042,73735,10,1048.34,20,12.32,1-Sep-98,11-Sep-98,1056.02
1043,73735,11,5738.42,20,77.11,1-Sep-98,1-Sep-98,5681.31
1044,29387,14,742,20,8.51,1-Sep-98,8-Sep-98,753.49
1045,87295,15,7293.62,20,320.69,1-Sep-98,6-Sep-98,6992.93
1046,88873,16,35985.21,20,1251,1-Sep-98,1-Sep-98,34754.21
1047,22343,17,343.2,20,7.79,1-Sep-98,2-Sep-98,355.41
1048,87295,18,42874.62,20,1058.77,1-Sep-98,10-Sep-98,41835.85
1049,22343,19,10235.28,20,187,1-Sep-98,1-Sep-98,10068.28
1050,22343,22,1392.79,20,32.54,1-Sep-98,18-Sep-98,1380.25
1051,51512,27,2044,20,20.45,1-Sep-98,3-Sep-98,2043.55
1052,29387,29,644.6,20,4.47,1-Sep-98,10-Sep-98,660.13
1053,88873,30,2336.55,20,39.59,1-Sep-98,7-Sep-98,2316.96
1054,51512,33,29786.43,20,761.17,1-Sep-98,15-Sep-98,29045.26
1055,51512,34,29537.2,20,1332.75,1-Sep-98,6-Sep-98,28224.45
1056,73735,2,144382.32,20,4524.35,1-Oct-98,13-Oct-98,139877.97
1057,22343,3,13379.5,20,407.37,1-Oct-98,10-Oct-98,12992.13
1058,73735,4,4638.96,20,97.77,1-Oct-98,20-Oct-98,4561.19
1059,51512,5,5323.08,20,214.19,1-Oct-98,13-Oct-98,5128.89
1060,15293,6,5340.7,20,80.38,1-Oct-98,12-Oct-98,5280.32
1061,29387,9,14860.72,20,704.95,1-Oct-98,18-Oct-98,14175.77
